"logLik","AIC","BIC"
"dks(1)","dks(1)","bbinom"
"dks(1)","dks(1)","bbinom"
"dks(1)","dks(2)","dks(5)"
"dks(1)","dks(2)","dks(5)"
"dks(1)","dks(1)","bbinom"
"dks(1)","dks(1)","bbinom"
"dks(1)","dks(1)","bbinom"
"dks(1)","dks(1)","bbinom"
"dks(1)","dks(1)","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","dks(1)","bbinom"
"dks(1)","dks(1)","bbinom"
"dks(1)","dks(1)","bbinom"
"dks(1)","dks(1)","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","dks(1)","bbinom"
"dks(1)","dks(1)","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
"dks(1)","bbinom","bbinom"
