"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys60","sys61","sys62","sys63","sys64","sys65","sys66","sys67","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys75","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys83","sys84","sys85","sys86","sys87","sys88"
0.1429,0.5,1,0.25,0.0667,0.0303,1,0.1667,0.3333,0.0909,0.0286,0.0909,1,0.1667,0.3333,1,1,0.5,0.125,0.0833,1,1,1,1,1,1,0.1429,0,0.3333,0.3333,0.5,0.25,0.3333,0.0164,0.0588,0.1429,0.125,0.125,0.2,0.0345,0.0588,0.0192,0.0588,1,1,0.0092,0.0208,0.0833,0.0286,0.0286,1,1,1,0.0714,0.125,0.0714,1,0.25,0.0667,0.3333,0.3333,0.25,1,1,1,0.5,0.5,0.1,0.3333,0.5,0.25,0.25,0.0714,0.3333,0.125,0.5,0.5,0.5,0.5,1,0.25,0.0385,0.0588,0.0588,0.5,0.0286,0.5,0.3333
1,1,1,0.5,1,0,0.25,1,0.1667,1,0.25,1,0.1429,1,1,0.1111,0.3333,1,1,0.1429,0.2,0.2,0.2,0.2,0.2,0.1667,1,0,0.3333,0.3333,0.5,0.1667,0.1667,0.0019,1,1,1,0.5,0.5,1,1,0.5,1,0.5,1,1,0.1667,0.5,1,1,1,1,0.1,0.3333,0.25,0.3333,0.5,0.5,1,1,1,1,0.2,0.2,0.1667,1,1,0.5,0.5,0.5,0.3333,0.1667,0.0526,0.2,1,0.1429,0.1667,0.3333,1,0.5,1,0.5,1,1,0.3333,1,0.5,1
0.0769,0.5,1,0.2,0.0123,0.0213,0.3333,1,0.3333,1,0.1667,1,0.0909,0.3333,0.0161,0.0526,0.0217,0.0294,0.037,0.0385,0.0588,0.0588,0.0588,0.5,0.5,0.5,0.1429,0,1,1,0.5,1,1,0.003,0.0909,0.3333,0.125,0.5,0.5,0.0667,0.2,0.125,0.2,0.0204,0.0667,0,0.1429,0.1429,0.3333,0.3333,1,1,1,0.0357,0.0714,0.0357,1,0.2,0.0123,1,0.5,0.5,0.5,0.5,0.5,0.125,0.125,0.125,1,1,0.25,1,0.1111,1,0.125,0.1667,0.2,0.125,0.5,0.5,0.5,0.1667,0.2,0.2,0.5,0.3333,0.1429,0.2
0.25,0.5,0.125,0.1667,1,1,1,0.5,0.5,0.5,0.5,0.5,0.25,1,0.3333,0.3333,0.3333,0.5,0.2,0.1667,0.25,0.25,0.25,1,1,1,0.5,0,1,1,0.1667,1,1,0.0312,0.0909,0.25,0.3333,0.3333,0.1429,0.5,1,0.3333,1,1,1,0.0068,0.125,0.1429,0.5,0.5,1,1,0.5,0.1667,0.1429,0.1667,0.2,0.1667,1,0.5,0.5,0.5,1,1,1,1,1,1,0.3333,0.3333,1,1,0.3333,1,0.3333,0.0769,0.125,0.5,0.3333,0.3333,1,1,1,1,1,0.5,0.5,0.5
0.0769,0.0833,0.0222,0.0333,1,0.1429,0.0013,0.5,0.2,1,0.5,1,0.0714,0.25,1,0.02,0.25,1,1,0.0769,0.1667,0.1667,0.1667,0.1111,0.1111,0.1111,0.3333,0,0.5,0.5,0.5,0.0196,0.0204,0.0029,0.25,0.5,0.1667,0.0333,0.0333,1,1,0.0263,1,0.0303,1,1,1,0.1667,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.0244,0.0333,1,1,0.3333,0.3333,0.1111,0.1111,0.1111,1,1,0.5,0.3333,0.5,1,0.0196,0.0833,0.0714,0.1667,0.3333,0.0588,0.3333,0.02,0.02,0.02,1,1,1,0.1429,0.5,1,1
1,0.0588,0.1667,0.0769,0.2,0.0833,0.0233,0.0556,0.0079,0.0714,0.0526,0.5,0.0357,0.0909,0.0833,0.0476,0.2,0.0417,0,0,0.0667,0.25,0.25,0.2,0.2,0.5,0.0159,0,1,1,1,0.5,1,0.0238,0.1667,0.0123,0.0455,0.0526,0.0476,0,0.25,0.0063,0.25,0.0156,0.0149,0.0588,0.1667,1,0.0667,0.3333,1,1,1,0.0263,0.0051,0.0156,0.1667,0.0769,0.2,0.0588,0.0588,0.0556,0.2,0.2,0.5,0.0455,0.0455,0.1,1,1,0.3333,0.5,0.0417,1,0.0455,0.0123,0.0333,0,0.1111,0.1667,0.2,0.5,0.25,0.25,1,0.0667,0.125,0.5
0.5,1,0.5,1,0.1429,1,0.5,1,0.3333,1,1,1,1,1,1,1,1,1,1,0.5,0.3333,0.3333,0.5,1,1,1,1,0.0099,0.3333,0.3333,0.25,1,1,0.0017,1,0.5,1,1,1,1,1,0.5,1,1,1,1,0.0137,0.5,1,1,0.5,1,1,1,0.25,1,0.5,1,0.1429,1,1,1,1,1,1,1,1,1,0.5,0.3333,0.1667,1,0.0625,1,1,0.3333,0.5,0.5,1,1,1,0.2,1,1,0.3333,1,0.5,1
0.5,0.3333,0.1,0.1111,0.2,1,0.1667,0.3333,0.0286,0.3333,0.2,0.3333,0.1111,1,1,0.0833,0.0714,1,0.1,0.1,0.0312,0.0312,0.0312,0.5,0.5,0.5,0.2,0,0.0909,0.0909,0.1667,0.0667,0.0714,0.0104,1,0.5,1,0.04,0.1111,0.0109,0.1429,1,0.1429,0.3333,0.3333,1,0,0.2,0.3333,0.3333,0.0025,0.0025,0.0114,0.1667,0.3333,0.1667,0.1,0.1111,0.2,1,1,1,0.5,0.5,0.5,0.0556,0.0556,1,0.0667,0.0833,0.0111,0.0667,0.1429,0.1111,1,0.0345,0.2,0.1111,1,1,0.5,0.1,0.1429,0.1429,0.5,0.3333,0.2,0.5
1,1,1,1,0.125,0.0526,0.0769,0.04,0.1429,0.0909,1,0.1,0.0435,1,1,0.1429,0.25,1,1,0.5,1,1,1,1,1,1,1,0,0.3333,0.3333,0.5,0.0588,0.0667,0.0217,0.0625,0.05,0.02,1,1,0.0833,0.2,0.0105,0.25,1,1,0.037,0.0182,0.0115,1,0.5,0.0303,0.0323,0.2,0.0244,0.0263,0.0278,1,1,0.125,0.5,0.5,0.5,1,1,1,0.1,0.1,0.5,1,1,0.0082,0.0588,0.0909,0.0588,0.02,0.25,0.1429,0.25,1,1,1,0.04,0.2,0.25,0.0051,1,0.3333,0.5
0,0,0,0,0,0,0.0526,0.1111,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0.0714,0.3333,0,0.0909,0.0588,0.0556,0.0769,0.1667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204,0.0011,0.5,0.5,0.0345,0.0256,0.0357,0,0,0,0,0,0,0.1667,0.2,0.0909,0.0667,0.0714,0.3333,0,0,0,0.0417,0.125,0.0019,0.1667,0.0095,0.1,0,0,0,0,0,0,0,0,0,0,0.0011,0.5,0.1429,1
